Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,2097,2097,1019
100,3,1471,1471,883
100,4,1279,1279,747
100,5,1199,1199,731
100,6,1103,1103,683
100,7,1047,1047,619
100,8,991,991,611
100,9,963,963,603
100,10,935,935,595
100,11,883,883,579
100,12,867,867,571
100,13,823,823,507
100,14,791,791,503
100,15,774,774,499
100,16,761,761,495
100,17,749,749,491
100,18,737,737,487
100,19,723,723,483
100,20,683,683,475
100,21,677,677,471
100,22,669,669,467
100,23,661,661,463
100,24,653,653,459
100,25,618,618,403
100,26,613,613,403
100,27,589,589,399
100,28,581,581,397
100,29,573,573,395
100,30,565,565,393
100,31,558,558,391
100,32,553,553,389
100,33,547,547,387
100,34,542,542,385
100,35,535,535,383
100,36,529,529,381
100,37,522,522,379
100,38,516,516,375
100,39,481,481,373
100,40,478,478,371
100,41,475,475,369
100,42,472,472,367
100,43,468,468,365
100,44,464,464,363
100,45,461,461,361
100,46,459,459,359
100,47,457,457,357
100,48,455,455,355
100,49,453,453,353
100,50,426,426,301
100,51,425,425,301
100,52,398,398,299
100,53,396,396,298
100,54,394,394,297
100,55,392,392,296
100,56,390,390,295
100,57,388,388,294
100,58,386,386,293
100,59,384,384,292
100,60,382,382,291
100,61,380,380,290
100,62,378,378,289
100,63,376,376,288
100,64,374,374,287
100,65,372,372,286
100,66,370,370,285
100,67,368,368,284
100,68,366,366,283
100,69,364,364,282
100,70,362,362,281
100,71,360,360,280
100,72,358,358,279
100,73,356,356,278
100,74,354,354,277
100,75,352,352,276
100,76,300,300,224
100,77,300,300,223
100,78,300,300,222
100,79,300,300,221
100,80,300,300,220
100,81,300,300,219
100,82,300,300,218
100,83,300,300,217
100,84,300,300,216
100,85,300,300,215
100,86,300,300,214
100,87,300,300,213
100,88,300,300,212
100,89,300,300,211
100,90,300,300,210
100,91,300,300,209
100,92,300,300,208
100,93,300,300,207
100,94,300,300,206
100,95,300,300,205
100,96,300,300,204
100,97,300,300,203
100,98,300,300,202
100,99,300,300,201
100,100,100,100,0
